 id: 150 act pos: 689 802 gus pos: [451, 541]
 id: 150 act pos: 690 802 gus pos: [806, 776]
 id: 150 act pos: 689 802 gus pos: [805, 779]
 id: 150 act pos: 688 802 gus pos: [804, 776]
 id: 150 act pos: 687 802 gus pos: [807, 776]
 id: 150 act pos: 686 802 gus pos: [813, 788]
 id: 150 act pos: 685 802 gus pos: [815, 788]
 id: 150 act pos: 684 802 gus pos: [814, 788]
 id: 150 act pos: 683 802 gus pos: [816, 788]
 id: 150 act pos: 682 802 gus pos: [815, 785]
 id: 150 act pos: 681 802 gus pos: [682, 800]
 id: 150 act pos: 682 802 gus pos: [683, 800]
 id: 150 act pos: 683 802 gus pos: [681, 800]
 id: 150 act pos: 686 802 gus pos: [684, 803]
 id: 150 act pos: 689 802 gus pos: [683, 803]
 id: 150 act pos: 690 802 gus pos: [684, 803]
 id: 150 act pos: 691 802 gus pos: [685, 803]
 id: 150 act pos: 692 802 gus pos: [686, 803]
 id: 150 act pos: 693 802 gus pos: [684, 803]
 id: 150 act pos: 695 802 gus pos: [686, 803]
 id: 150 act pos: 697 802 gus pos: [688, 803]
 id: 150 act pos: 698 802 gus pos: [689, 803]
 id: 150 act pos: 703 802 gus pos: [690, 803]
 id: 150 act pos: 704 802 gus pos: [688, 803]
 id: 150 act pos: 705 802 gus pos: [689, 803]
 id: 150 act pos: 706 802 gus pos: [690, 803]
 id: 150 act pos: 707 802 gus pos: [691, 799]
 id: 150 act pos: 710 802 gus pos: [694, 802]
 id: 150 act pos: 713 802 gus pos: [694, 802]
 id: 150 act pos: 714 802 gus pos: [695, 799]
 id: 150 act pos: 717 802 gus pos: [698, 802]
 id: 150 act pos: 718 802 gus pos: [696, 802]
 id: 150 act pos: 719 802 gus pos: [697, 802]
 id: 150 act pos: 721 802 gus pos: [696, 802]
 id: 150 act pos: 722 802 gus pos: [697, 802]
 id: 150 act pos: 723 802 gus pos: [698, 802]
 id: 150 act pos: 724 802 gus pos: [699, 802]
 id: 150 act pos: 726 802 gus pos: [698, 802]
 id: 150 act pos: 728 802 gus pos: [700, 802]
